_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
151,150,331,St Louis,11 Morgan Ave,Etobicoke,M8Y 2Z7,E,Open,"{'type': 'Point', 'coordinates': (-79.5009553836076, 43.625745124679916)}"
152,151,370,St Luigi,2 Ruskin Ave,former Toronto,M6P 3P8,E,Open,"{'type': 'Point', 'coordinates': (-79.45147011391265, 43.66287558188432)}"
153,152,336,St Malachy,80 Bennett Rd,Scarborough,M1E 3Y3,E,Open,"{'type': 'Point', 'coordinates': (-79.16663442766689, 43.77102043405924)}"
154,153,311,St Marcellus,15 Denfield St,Etobicoke,M9R 3H2,E,Open,"{'type': 'Point', 'coordinates': (-79.55422495292233, 43.67979193637609)}"
155,154,249,St Margaret,85 Carmichael Ave,North York,M5M 2X1,E,Open,"{'type': 'Point', 'coordinates': (-79.4266255653034, 43.73582926855322)}"
156,155,381,St Marguerite Bourgeoys,75 Alexmuir Blvd,Scarborough,M1V 1H6,E,Open,"{'type': 'Point', 'coordinates': (-79.2850919491127, 43.808230663102734)}"
157,156,260,St Maria Goretti,21 Kenmark Blvd,Scarborough,M1K 3N8,E,Open,"{'type': 'Point', 'coordinates': (-79.2659221067688, 43.729835318062435)}"
158,157,332,St Mark,45 Cloverhill Rd,Etobicoke,M8Y 1T4,E,Open,"{'type': 'Point', 'coordinates': (-79.49019750626837, 43.634499850623286)}"
159,158,344,St Martha,1865 Sheppard Ave W,North York,M3L 1Y5,E,Open,"{'type': 'Point', 'coordinates': (-79.50232465549821, 43.74106800496568)}"
160,159,286,St Martin De Porres,230 Morningside Ave,Scarborough,M1E 3E1,E,Open,"{'type': 'Point', 'coordinates': (-79.18682181079994, 43.76712858519822)}"
161,160,205,St Mary,20 Portugal Sq,former Toronto,M6J 3P2,E,Open,"{'type': 'Point', 'coordinates': (-79.40463496611996, 43.64584380603028)}"
162,161,528,St Mary Catholic Academy,66 Dufferin Park Ave,former Toronto,M6H 1J6,S,Open,"{'type': 'Point', 'coordinates': (-79.43215428708766, 43.65779359968393)}"
